epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,439.826,1.34845,0.54329,0.93543,0.96851,0.97385,0.99091,0.63186,1.44222,0.53886,0.95379,0.000420875,0.000420875,0.000420875
69,446.282,1.34097,0.53863,0.92905,0.96008,0.98239,0.98947,0.63111,1.43032,0.54799,0.95141,0.0004085,0.0004085,0.0004085
70,452.72,1.34155,0.53805,0.93362,0.97475,0.98262,0.99033,0.63901,1.43272,0.53663,0.95241,0.000396125,0.000396125,0.000396125
71,459.161,1.33664,0.53252,0.92949,0.97971,0.96858,0.9898,0.63059,1.43886,0.54089,0.9541,0.00038375,0.00038375,0.00038375
72,465.665,1.33132,0.53028,0.92871,0.96935,0.98179,0.98995,0.63219,1.43373,0.53719,0.95195,0.000371375,0.000371375,0.000371375
73,472.078,1.32998,0.53184,0.92728,0.97191,0.9798,0.98897,0.6343,1.43806,0.53758,0.95277,0.000359,0.000359,0.000359
74,478.542,1.3295,0.52867,0.93186,0.96389,0.98243,0.98918,0.63305,1.42632,0.53395,0.9518,0.000346625,0.000346625,0.000346625
75,484.995,1.32856,0.52805,0.93069,0.97149,0.98036,0.98932,0.63647,1.42119,0.53482,0.95037,0.00033425,0.00033425,0.00033425
76,491.544,1.32337,0.53167,0.92486,0.97355,0.98161,0.98907,0.63615,1.42573,0.53221,0.95165,0.000321875,0.000321875,0.000321875
77,498.036,1.33144,0.53166,0.92847,0.9682,0.97943,0.98966,0.63595,1.42018,0.54015,0.95061,0.0003095,0.0003095,0.0003095
78,504.468,1.32336,0.52399,0.93042,0.96204,0.98396,0.99049,0.6385,1.431,0.53307,0.95292,0.000297125,0.000297125,0.000297125
79,510.868,1.31688,0.52322,0.92696,0.96875,0.98265,0.99077,0.63317,1.43334,0.53274,0.95188,0.00028475,0.00028475,0.00028475
80,517.308,1.32301,0.52181,0.92911,0.97184,0.98456,0.99038,0.6303,1.43994,0.53416,0.95336,0.000272375,0.000272375,0.000272375
81,523.826,1.3149,0.52196,0.92614,0.97988,0.97495,0.98928,0.62332,1.42633,0.53663,0.95039,0.00026,0.00026,0.00026
82,530.222,1.30451,0.51383,0.91747,0.96847,0.98084,0.99127,0.64127,1.43496,0.53036,0.95226,0.000247625,0.000247625,0.000247625
83,536.625,1.30511,0.51696,0.92683,0.96856,0.98306,0.99106,0.63088,1.43206,0.52849,0.95179,0.00023525,0.00023525,0.00023525
84,542.947,1.30144,0.51511,0.92157,0.97491,0.97609,0.98968,0.63654,1.42941,0.53272,0.9517,0.000222875,0.000222875,0.000222875
85,549.241,1.31436,0.51838,0.92427,0.97228,0.97758,0.99057,0.63399,1.43784,0.53274,0.95203,0.0002105,0.0002105,0.0002105
86,555.805,1.2983,0.5064,0.92273,0.97844,0.97569,0.99103,0.64178,1.42766,0.52671,0.951,0.000198125,0.000198125,0.000198125
87,562.266,1.28912,0.51119,0.91845,0.97533,0.97971,0.99051,0.64039,1.42616,0.52362,0.9508,0.00018575,0.00018575,0.00018575
88,568.627,1.29035,0.51218,0.92441,0.97348,0.98257,0.98968,0.63502,1.43066,0.52666,0.95172,0.000173375,0.000173375,0.000173375
89,575.023,1.28614,0.50249,0.91715,0.97249,0.98204,0.99022,0.64141,1.42407,0.52014,0.95096,0.000161,0.000161,0.000161
90,581.182,1.28373,0.50565,0.91726,0.97098,0.98064,0.99,0.64153,1.41926,0.52306,0.9495,0.000148625,0.000148625,0.000148625
91,588.049,1.29178,0.48775,0.94637,0.96944,0.98402,0.98891,0.63183,1.43374,0.52982,0.95237,0.00013625,0.00013625,0.00013625
92,594.316,1.27726,0.47716,0.9459,0.97292,0.98272,0.99018,0.63445,1.43254,0.52389,0.95188,0.000123875,0.000123875,0.000123875
93,600.628,1.27677,0.47831,0.93955,0.97331,0.98133,0.99028,0.63143,1.43792,0.52475,0.95228,0.0001115,0.0001115,0.0001115
94,606.88,1.27514,0.47388,0.94717,0.97632,0.9738,0.98893,0.63472,1.42762,0.52919,0.95074,9.9125e-05,9.9125e-05,9.9125e-05
95,612.896,1.27209,0.47302,0.93884,0.97246,0.98155,0.98952,0.63072,1.43212,0.52665,0.9512,8.675e-05,8.675e-05,8.675e-05
96,618.92,1.26806,0.47013,0.94276,0.97905,0.97863,0.99028,0.63687,1.42645,0.52095,0.95114,7.4375e-05,7.4375e-05,7.4375e-05
97,624.922,1.26215,0.46808,0.93775,0.97419,0.97935,0.98927,0.63495,1.42516,0.5197,0.95023,6.2e-05,6.2e-05,6.2e-05
98,630.947,1.26212,0.4637,0.94145,0.97121,0.98544,0.98965,0.63503,1.42632,0.52094,0.95052,4.9625e-05,4.9625e-05,4.9625e-05
99,637.063,1.25799,0.46476,0.93532,0.97216,0.9853,0.98943,0.6342,1.42784,0.52189,0.95101,3.725e-05,3.725e-05,3.725e-05
100,643.073,1.25644,0.46308,0.93792,0.97094,0.9851,0.98953,0.63632,1.42768,0.51933,0.9506,2.4875e-05,2.4875e-05,2.4875e-05
